name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precipitation,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex
Jashore,6/18/2022,32,27,29.5,42.3,30.6,36.7,26.2,82.6,2.661,100,8.33,rain,0,0,46.4,27.7,210.4,1003.4,89.8,3.5,101.7,8.7,3
Jashore,6/19/2022,34.2,25.8,29.9,45.8,25.8,36.8,25.8,79.3,0.316,100,4.17,rain,0,0,55.4,37.1,215.5,1002.4,89.4,3.4,130.9,11.3,5
Jashore,6/20/2022,32.2,26,29.5,42.3,26,36.1,25.8,81,0,0,0,rain,0,0,38.5,18.4,197.4,1000.4,82,3.7,135.2,11.7,7
Jashore,6/21/2022,34.7,27.1,30.2,43.8,30.6,37.4,25.8,78.2,4.411,100,8.33,rain,0,0,29.2,18.4,173.3,999.4,72.5,3.6,214.1,18.5,7
Jashore,6/22/2022,32,26,29.5,40.7,26,36.5,26.2,82.9,15.647,100,8.33,rain,0,0,30.6,18.4,176.6,1002.3,79.7,3.4,144.7,12.5,6
Jashore,6/23/2022,33,27.7,30.1,43.8,33.1,37.5,26.1,79.9,0,0,0,rain,0,0,30.6,24.1,166.1,1003.1,57.4,4,211.9,18.2,7
Jashore,6/24/2022,33,27.3,29,43.8,31.5,35.6,26,84.2,4.383,100,8.33,rain,0,0,37.1,18.4,149.8,1001.6,68.4,3.7,180.5,15.5,8
Jashore,6/25/2022,30.8,27,28.1,40.4,30.6,33.5,25.7,87.3,24.689,100,12.5,rain,0,0,34.9,14.8,142.1,1000.6,71,3.1,164.8,14.2,6
Jashore,6/26/2022,31,27,29,42.4,30.6,35.7,26.2,85.2,13,100,16.67,rain,0,0,34.6,14.8,149.5,1002.6,70.3,3.3,195.9,16.7,6
Jashore,6/27/2022,34.2,27.6,30.7,43.8,32.7,38.4,26.1,77.3,0,0,0,rain,0,0,31.3,20.5,169.6,1003.7,48.1,3.9,243.7,21.1,8
Jashore,6/28/2022,34.1,28,30.9,43.5,32.7,38.3,25.7,74.8,0.213,100,4.17,rain,0,0,31,22.3,176.3,1002.3,61.9,4.2,228.3,19.8,7
Jashore,6/29/2022,34,28,30.5,43.5,32.7,38.5,26.3,79.2,0.087,100,4.17,rain,0,0,34.2,22.3,165.4,1000.6,71.6,3.9,214.3,18.5,7
Jashore,6/30/2022,32,27.7,29.4,42.3,33.2,36.9,26.5,84.6,3.556,100,8.33,rain,0,0,30.6,14.8,157.2,999.9,85.1,3.6,185.1,16,7
Jashore,7/1/2022,31.2,28,29.5,42.5,33.6,37.3,26.7,85,0.213,100,4.17,rain,0,0,26.6,18.4,147.3,999.1,82.5,3.4,160.3,13.8,6
Jashore,7/2/2022,33.6,27.7,29.5,43.8,32.7,36.7,26.3,83.4,14.146,100,16.67,rain,0,0,26.6,13,148.4,997.9,81.3,3.4,201,17.5,6
Jashore,7/3/2022,30.7,26.7,28.8,39.9,30,35,25.9,84.5,1.293,100,8.33,rain,0,0,29.2,18.4,147.7,998.5,70.6,3.6,119.4,10.3,4
Jashore,7/4/2022,34,27.9,30.4,44.4,33.6,38.4,26.4,80.2,0.213,100,4.17,rain,0,0,31.7,20.5,146.8,998.4,56.1,3.9,214.9,18.4,7
Jashore,7/5/2022,33,27.7,29.9,43.8,32.7,37.4,26.3,81.3,2.31,100,8.33,rain,0,0,40.7,16.6,103,998.7,70.4,4.1,233.4,20.1,8
Jashore,7/6/2022,31,27.8,29.1,42.4,32.7,36.1,26.3,84.9,21.577,100,12.5,rain,0,0,34.6,22.3,124.6,1001.6,67.9,3.7,165.3,14.3,7
Jashore,7/7/2022,33.5,27,30.4,43.8,30.6,38.2,26.3,79.2,0,0,0,rain,0,0,35.3,18.4,120.6,1003,58,4,242.8,20.8,8
Jashore,7/8/2022,32.2,28,30.1,44.1,33.6,38.4,26.6,81.4,12.534,100,8.33,rain,0,0,34.2,25.9,131.3,1001.3,58.5,3.8,223.3,19.5,8
Jashore,7/9/2022,32.9,28,29.7,41.3,33.6,37,26.2,82.2,2.134,100,4.17,rain,0,0,38.9,22.3,120.8,999.4,58.4,3.6,237.7,20.6,8
Jashore,7/10/2022,32,27,28.9,42.3,30.6,35.5,26.1,85.3,9.56,100,12.5,rain,0,0,41.4,18.4,105.4,998.7,62.6,3.7,219.4,18.8,8
Jashore,7/11/2022,33,27,29.4,42.1,30.6,36.2,26.1,82.8,0.202,100,4.17,rain,0,0,43.9,22.3,101.9,999,69.6,3.6,201.5,17.4,7
Jashore,7/12/2022,32.1,27,29,41.7,30.6,35.6,26.1,84.4,16.513,100,12.5,rain,0,0,58,25.9,103.8,997.7,65.3,3.7,228,19.7,8
Jashore,7/13/2022,32,27.7,29.4,42.4,33.3,36.7,26.4,84,6.865,100,16.67,rain,0,0,54,22.3,97.7,996.1,71.6,3.6,222.1,19.2,7
Jashore,7/14/2022,33,27.6,29.4,42.3,32.9,36.6,26.3,83.4,7.6,100,12.5,rain,0,0,56.5,22.3,105.5,996.6,70.4,4.1,196.9,16.9,7
Jashore,7/15/2022,34,27,29.4,45.3,30.6,36.4,26.1,82.5,3,100,8.33,rain,0,0,45.4,22.3,104.6,998.6,64,3.8,210.6,18.1,7
Jashore,7/16/2022,32.4,27,29.3,42.8,30.6,36.6,26.3,84.1,10.444,100,12.5,rain,0,0,49.3,22.3,107.4,999.8,59.6,3.7,230.7,19.8,7
Jashore,7/17/2022,33.1,27.8,29.6,43.2,32.7,37.1,26.4,83.1,5.289,100,12.5,rain,0,0,45,22.3,121.9,1001.7,66.5,3.8,216.9,18.7,7
Jashore,7/18/2022,33.3,27,29.7,42.1,30.6,36.6,25.9,80.7,4.556,100,8.33,rain,0,0,39.6,20.5,161.5,1002.4,54.1,3.9,221.3,19.3,7
Jashore,7/19/2022,33,27,30.1,43.8,30.6,37.8,26.2,80.2,0.142,100,4.17,rain,0,0,36,20.5,190.7,1000.6,67.6,3.7,201.9,17.2,7
Jashore,7/20/2022,32.3,28.6,30.3,42.8,35,38.2,26.2,78.9,0.711,100,4.17,rain,0,0,33.5,25.9,187.1,1000.8,69,3.8,199.4,17.1,7
Jashore,7/21/2022,32.7,28,30,45.1,33.6,37.9,26.5,81.7,2.021,100,4.17,rain,0,0,40.7,22.3,150.5,1001.2,67.3,3.7,181,15.6,5
Jashore,7/22/2022,34,27.9,29.6,45.3,33.6,37.1,26.4,83,8.401,100,4.17,rain,0,0,37.4,18.4,127.3,1002.1,69.9,3.8,186.7,16.2,7
Jashore,7/23/2022,31,27,28.4,40.6,30.1,34.3,25.8,85.7,8.775,100,8.33,rain,0,0,31.3,22.3,148.3,1002.5,77.6,3.6,167,14.4,7
Jashore,7/24/2022,29,25.6,27,35.6,25.6,29.8,24.9,88.1,24.802,100,20.83,rain,0,0,36.7,16.6,149.6,1003.9,84.4,3.1,148.4,12.7,6
Jashore,7/25/2022,30,25,27.7,37.4,25,31.7,25.2,86.6,8.154,100,16.67,rain,0,0,29.5,18.4,139.3,1006.5,83,3.4,110.3,9.7,4
Jashore,7/26/2022,32.5,26.6,29.1,40.7,26.6,34.7,25.3,80.5,0,0,0,rain,0,0,20.9,14.8,168.1,1007.4,76.6,4,160.1,13.7,6
Jashore,7/27/2022,33.4,27,28.9,43.4,30.6,35.2,25.8,83.6,22.133,100,8.33,rain,0,0,32,18.4,171.5,1006.7,67.4,3.6,211.3,18.2,8
Jashore,7/28/2022,34.3,27.6,29.7,43.7,32.7,36.6,25.9,80.3,1.733,100,4.17,rain,0,0,24.5,14.8,187.9,1006.5,70.5,3.9,228.9,19.7,8
Jashore,7/29/2022,34,28,30.6,45.8,32.7,38.9,26.5,79.3,9.814,100,4.17,rain,0,0,24.8,16.6,198.4,1005.3,53.9,3.8,237.2,20.4,8
Jashore,7/30/2022,34.6,28.6,31.4,45.4,35.1,39.3,25.9,73.1,0,0,0,,0,0,29.2,22.3,199.7,1003.6,56,4.4,230.6,19.9,8
Jashore,7/31/2022,33.4,27,30,45,30.6,38,26.5,81.7,7.228,100,4.17,rain,0,0,31.7,18.4,187.9,1001.6,71.9,3.6,202.6,17.5,8
Jashore,8/1/2022,33.1,28.9,30.2,42.4,34.5,38,26.2,79.6,0,0,0,rain,0,0,26.6,22.3,215.4,1001.9,77.8,3.3,173.1,14.9,6
Jashore,8/2/2022,33.5,26,29.1,45.1,26,36.1,26.3,85.2,53.919,100,4.17,rain,0,0,20.5,18.4,160.1,1001.6,89.6,3,176.1,15.3,7
Jashore,8/3/2022,31,27,29.1,41.4,30.6,36.3,26.4,85.8,4.296,100,8.33,rain,0,0,19.4,9.4,136,1002.5,88.6,2.9,121.5,10.5,4
Jashore,8/4/2022,33,27,29.6,42.3,30.6,36.5,25.9,81.1,0,0,0,rain,0,0,31,13,108.5,1002.6,76.2,3.7,184.4,16,7
Jashore,8/5/2022,34,27,29.9,45.3,30.6,37.5,26.3,81.2,0,0,0,rain,0,0,25.2,20.5,117.7,1000.9,58.1,4.3,206.5,17.8,7
Jashore,8/6/2022,30.5,27.8,28.9,40,32.7,35.6,26.2,85.6,9.845,100,8.33,rain,0,0,31,18.4,82.1,998.7,70.6,3.5,163.1,14.2,6
Jashore,8/7/2022,32.6,26,29.2,42.3,26,35.4,25.8,82.4,3.866,100,4.17,rain,0,0,41,16.6,95.8,997.7,66.7,3.8,214.8,18.6,7
Jashore,8/8/2022,31,27,28.7,39.4,30.1,34.6,25.6,83.3,9,100,8.33,rain,0,0,45.7,18.4,97.2,996.7,68.5,3.3,190.6,16.5,7
Jashore,8/9/2022,30,26.9,28,37.4,30.1,32.8,25.2,84.8,5.043,100,12.5,rain,0,0,53.3,22.3,109.7,995.7,82.6,3.6,114.6,9.8,6
Jashore,8/10/2022,30.9,26,27.5,39.6,26,31.4,25.2,87.6,8.289,100,12.5,rain,0,0,41.4,18.4,103.9,995.5,93.8,2.8,103.9,9,4
Jashore,8/11/2022,30,26,27.2,37.4,26,30.3,25.2,88.9,29.512,100,20.83,rain,0,0,29.2,18.4,144.4,999,92.9,3.3,72.9,6.3,2
Jashore,8/12/2022,33,26.4,29.4,42.1,26.4,35.6,25.6,80.6,1.444,100,4.17,rain,0,0,21.2,11.2,158.4,999.6,74.2,3.6,191.9,16.6,7
Jashore,8/13/2022,33,27.2,29.4,43.8,31.5,35.9,25.7,81.1,0.289,100,4.17,rain,0,0,42.8,25.9,69.1,997.2,74,3.6,205.1,17.8,8
Jashore,8/14/2022,28.2,26,27.3,34.2,26,31,25.1,88.3,33.866,100,20.83,rain,0,0,59.8,27.7,115,998.4,95.2,2.9,79.5,6.9,4
Jashore,8/15/2022,30,26,28.2,37.4,26,33.3,25.6,86.1,10.133,100,16.67,rain,0,0,47.5,22.3,151.4,1004.4,78.4,3.4,204.2,17.8,7
Jashore,8/16/2022,34.2,27,30.6,42.7,30.6,37.4,25.5,74.9,0,0,0,rain,0,0,24.1,14.8,219.6,1004.7,48.2,4,252.3,21.7,8
Jashore,8/17/2022,35,28.8,31.7,44.9,35.5,40.3,26.2,73.2,0,0,0,,0,0,23.8,14.8,294.9,1002.2,44.2,4.2,238.5,20.6,8
Jashore,8/18/2022,35,27.6,31.4,48.8,32.5,40.8,26.7,76.3,1.155,100,8.33,rain,0,0,32.8,27.7,345.4,999,65.6,3.5,245.9,21.3,8
Jashore,8/19/2022,31,26,27.6,39.1,26,31.9,25.2,86.8,26.556,100,20.83,rain,0,0,60.1,29.5,51.2,996.6,94.1,2.9,89.4,7.8,4
Jashore,8/20/2022,30,26.8,27.7,37.4,30,32.2,25.1,85.8,11.157,100,16.67,rain,0,0,54,24.1,134,999.5,84.6,3.2,143.3,12.4,6
Jashore,8/21/2022,33,27.5,29.7,42.9,32.3,37,26.2,81.7,0.058,100,4.17,rain,0,0,31.7,18.4,133.4,1000.6,56,3.8,196.8,16.8,7
Jashore,8/22/2022,33.4,27.9,30.1,43.8,32.6,37.2,25.8,78.5,12.627,100,8.33,rain,0,0,24.1,13,173.8,1000.4,56.8,3.2,237.4,20.6,9
Jashore,8/23/2022,30.1,25,28.5,38.8,25,34.5,25.8,85.6,10.422,100,12.5,rain,0,0,18,14.8,72.6,1002.3,89.3,3.2,131.2,11.4,5
Jashore,8/24/2022,30,27,27.9,37.4,30.1,32.6,25.3,86,12.199,100,8.33,rain,0,0,43.6,18.4,131.4,1003.6,80.7,3.3,145.5,12.6,6
Jashore,8/25/2022,33,26.8,29.5,41.6,30.1,35.2,25,77.5,0,0,0,rain,0,0,28.1,20.5,166.9,1003.5,57.3,4,228.1,19.7,8
Jashore,8/26/2022,34.2,27.1,30.4,43.8,31.2,37,25.4,75.7,0,0,0,rain,0,0,21.6,16.6,184.7,1002.4,60.8,3.8,219.5,19,7
Jashore,8/27/2022,33.5,28,30.1,44.8,32.7,38,26.3,80.6,14.861,100,8.33,rain,0,0,29.5,18.4,190.4,1002.1,81.2,3.2,160.2,13.9,6
Jashore,8/28/2022,32,27,29.5,40.7,30.6,36.2,25.8,80.9,5.711,100,8.33,rain,0,0,31.3,22.3,168.4,1004.3,70.1,3.5,179.8,15.6,7
Jashore,8/29/2022,34,28,30.9,43.5,32.7,38.2,25.6,74.3,0,0,0,rain,0,0,24.8,29.5,171,1007,48.8,4.1,227.4,19.7,8
Jashore,8/30/2022,34.5,28,30.7,43.5,32.7,37.9,25.6,75.1,0.356,100,4.17,rain,0,0,22,16.6,190.7,1007.3,54.9,4.1,236.9,20.5,8
Jashore,8/31/2022,34.3,28.6,31.3,43.9,35.1,39.1,25.8,73.7,0,0,0,rain,0,0,24.8,18.4,196,1005.9,47.9,4.5,234.1,20.3,9
Jashore,9/1/2022,34.1,28.8,31.1,42.4,34.5,38.7,25.8,73.8,0.071,100,4.17,rain,0,0,29.2,18.4,203.5,1006.1,53.5,4.2,238.5,20.5,8
Jashore,9/2/2022,34.9,28.8,31.6,44.6,34.5,39.3,25.6,71.4,0,0,0,rain,0,0,29.5,20.5,206.6,1006.7,51,4.7,225.5,19.6,8
